# request	time	s1_time	s2_time	s3_time	s1_assignment	s2_assignment	s3_assignment
496	936695	774	786	847	45.817	23.730	30.453
497	937596	773	788	802	45.817	23.730	30.453
498	938500	780	788	792	45.817	23.730	30.453
499	939401	786	794	745	45.817	23.730	30.453
500	940308	790	800	739	45.817	23.730	30.453
501	941211	790	805	731	45.817	23.730	30.453
502	942113	800	809	723	44.492	22.787	32.722
503	943311	793	802	757	44.492	22.787	32.722
504	944218	789	796	757	44.492	22.787	32.722
505	945422	786	785	840	44.492	22.787	32.722
506	946318	783	780	840	44.492	22.787	32.722
507	947233	774	780	874	44.492	22.787	32.722
508	948434	775	779	900	46.667	23.778	29.555
509	949325	774	779	900	46.667	23.778	29.555
510	950226	781	784	840	46.667	23.778	29.555
511	951137	789	795	801	46.667	23.778	29.555
512	952036	798	795	801	46.667	23.778	29.555
513	952939	806	795	765	46.667	23.778	29.555
514	953842	812	801	721	44.848	23.165	31.987
